"(11, 10, 16)",0,0,1.0785433449312922,1.1076768662963699,"[-0.004131662087710113, 0.0012047463283790234, 0.19981532576000002, 0.301114758843777, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00118967, -0.00149456,   -0.193214]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",0,0,1.0785433449312922,1.1076768662963699,"[-0.004139384820584337, 0.0011738553968821254, 0.19981532576000002, 0.301114758843777, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00119116, -0.00148859,   -0.193214]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",0,0,1.0926037624579807,1.1076768662963699,"[-0.004131662087710113, 0.00118157812975635, 0.19981532576000002, 0.30090506890029245, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[  -0.0011894, -0.00149017,   -0.193214]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",0,0,1.1263487645220227,1.1350254358773422,"[-0.004139384820584337, 0.0012356372598759215, 0.19981532576000002, 0.301114758843777, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00119116, -0.00150053,   -0.193214]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",0,0,1.0757312614259598,1.0921213862964407,"[-0.004170275752081235, 0.0012279145270016971, 0.19981791834, 0.301114758843777, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00119714, -0.00149904,   -0.193216]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",5,0,1.1263487645220227,1.1154546062964177,"[-0.004394235005433746, 0.001135241732511003, 0.19981402947000002, 0.30090506890029245, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00124013, -0.00148121,   -0.193212]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",5,0,1.0869795954473027,1.099899126296322,"[-0.00441740320405642, 0.0011738553968821254, 0.19981662205000003, 0.30090506890029245, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00124462, -0.00148868,   -0.193215]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",5,0,1.0729191779206273,1.099899126296322,"[-0.00441740320405642, 0.0011275189996367784, 0.19981662205000003, 0.3013244487872615, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00124515, -0.00147956,   -0.193215]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",5,0,1.0560466768886063,1.099899126296322,"[-0.004456016868427542, 0.0011275189996367784, 0.19981662205000003, 0.301114758843777, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00125235, -0.00147964,   -0.193215]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",5,0,1.0841675119419703,1.099899126296322,"[-0.0046490851902831545, 0.0011429644653852275, 0.19981662205000003, 0.30090506890029245, 0.14579114524972495, 0.2746452667531472, -0.335182023707541]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00128965, -0.00148113,   -0.193215]","[           0, -0.00127342,   -0.193402]"
"(11, 10, 16)",10,0.004,1.2416441882408502,1.255453926296446,"[-0.004270671279446154, 0.0013283100543666157, 0.19979069625, 0.3013244487872615, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00121705, -0.00151949,   -0.193189]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",20,0,0.7523416583122022,0.7887895262964073,"[-0.004293839478068827, 0.0012665281913728196, 0.19986847365000002, 0.301114758843777, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[  -0.0012216, -0.00150774,   -0.193267]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",20,0,0.7607779088282127,0.7732340462963117,"[-0.004270671279446154, 0.0013592009858635137, 0.19987106623000003, 0.3013244487872615, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00121739, -0.00152557,   -0.193269]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",10,0,0.7776504098602337,0.7965672662964551,"[-0.00441740320405642, 0.0012665281913728196, 0.19986717736, 0.30090506890029245, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00124521, -0.00150782,   -0.193265]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",10,0,0.7804624933655793,0.7810117862963595,"[-0.004525521464295562, 0.001289696389995493, 0.19986976994000002, 0.301114758843777, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[6.92155e-310,6.92155e-310,   -0.193268]","[6.92151e-310,6.92151e-310,   -0.193402]"
"(11, 10, 16)",20,0,0.7270329067641708,0.7732340462963117,"[-0.00441740320405642, 0.0010425689380203088, 0.19987106623000003, 0.3013244487872615, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00124575, -0.00146438,   -0.193269]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",20,0.006,0.7664020758388908,0.7887895262964073,"[-0.004317007676691501, 0.001212469061253248, 0.19986847365000002, 0.301114758843777, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00122607, -0.00149729,   -0.193267]","[-0.000395095, -0.00127342,   -0.193402]"
"(11, 10, 16)",20,0.008,0.7326570737748488,0.7654563062964304,"[-0.004378789539685297, 0.0010425689380203088, 0.19987236252, 0.30090506890029245, 0.1459277817494904, 0.27477888506987247, -0.3353453677736753]","[-4.1650689253103224e-07, -5.59284533158122e-07, 0.19999993857104942, 0.301114758843777, 0.14715751024737936, 0.2763081648809621, -0.34906553770460214]","[ -0.00123777, -0.00146454,   -0.193271]","[-0.000395095, -0.00127342,   -0.193402]"
